Water Front
Floors: 2.5
Neighborhood: Village
Tennis Courts
Baths: 5
Deposit: $1300.00
Deck
Gas Range
Neighborhood: Villlage
Deposit: $2500.00
Occupancy: 13
Deposit: $1200.00
Baths: 2
Lake View
Parking
Fireplace
Occupancy: 15
Neighborhood: Boulder Bay
Deposit: $300.00
Neighborhood: Bear Mtn Moonridge
Taxes and Fees:
Rental:
Baths: 6
Deposit: $500.00
Parking Spaces: 1
Internet: Yes
Parking Spaces: 4
Parking Spaces: 7
Parking Spaces: 2
Baths: 2.5
Baths: 1
Fitness Center
Occupancy: 4
Floors: 1
Neighborhood: Moonridge
Neighborhood: Summit Lake
Occupancy: 16
Occupancy: 8
Deposit: $400.00
Deposit: $1400.00
Deposit: $800.00
Bedrooms: 2
Neighborhood: Big Bear City
Luxury Cabin: No
Wheel Chair Accessible
Baths: 6.5
Parking Spaces: 3
Pet Friendly: No
Neighborhood: Big Bear West
Occupancy: 6
Occupancy: 3
Bedrooms: 3
Deposit: $200.00
Club House
Pet Friendly: Yes
Deposit: $2000.00
Game Table: Internet: Yes
Bedrooms: 1
Baths: 4.5
Pool
Game Table: No
Deposit: $750.00
Occupancy: 9
Neighborhood: Snow Summit
Laundry
Occupancy: 10
Baths: 1.5
Baths: 3.5
Spa Jacuzzi
Baths: 4
Hot Tub: No
Baths: 3
Deposit: $1000.00
Bedrooms: 4
Neighborhood: Castle Glen
Floors: 2
Baths: 7
Luxury Cabin: Yes
Internet: No
Hot Tub: Yes
Playground Park
Processing Fee:
Parking Spaces: 5
Bedrooms: 8
Baths: 8
Yard
Neighborhood: Upper Moonridge
Bedrooms: 6
Bedrooms: 7
Cleaning Fee:
Bedrooms: 5
Occupancy: 12
Deposit: $1500.00
Parking Spaces: 6
Carpeted Floors
Patio
Neighborhood: Lower Moornidge
Game Table: Yes
Floors: 4
Occupancy: 7
Occupancy: 5
Neighborhood: Fox Farm
Wood Floors
Deposit: $600.00
Baths: 5.5
Floors: 3
Occupancy: 11
Central AC
Neighborhood: Fawnskin
Occupancy: 14
Parking Spaces: 8
Neighborhood: Lower Moonridge
Alarm
Baths: 3.75
