PL,PR,Holiday
2019-02-15,2019-02-17,President's Day
2019-03-15,2019-03-16,St Patrick's Day
2019-04-19,2019-04-20,Easter
2019-05-03,2019-05-04,Cinco de Mayo
2019-05-24,2019-05-26,Memorial Day
2019-07-04,2019-07-06,4th of July
2019-05-01,2019-05-01,Labor Day
2019-10-11,2019-10-13,Columbus Day
2019-11-08,2019-11-10,Veteran's Day
2019-11-28,2019-11-30,Thanksgiving
2019-12-21,2020-01-01,Christmas Season
2019-02-01,2019-02-03,Weekend
2019-02-08,2019-02-10,Weekend
2019-02-15,2019-02-17,Weekend
2019-02-22,2019-02-24,Weekend
2019-03-01,2019-03-03,Weekend
2019-03-08,2019-03-10,Weekend
2019-03-15,2019-03-17,Weekend
2019-03-22,2019-03-24,Weekend
2019-03-29,2019-03-31,Weekend
2019-04-05,2019-04-07,Weekend
2019-04-12,2019-04-14,Weekend
2019-04-19,2019-04-21,Weekend
2019-04-26,2019-04-28,Weekend
2019-05-03,2019-05-05,Weekend
2019-05-10,2019-05-12,Weekend
2019-05-17,2019-05-19,Weekend
2019-05-24,2019-05-26,Weekend
2019-05-31,2019-06-02,Weekend
2019-06-07,2019-06-09,Weekend
2019-06-14,2019-06-16,Weekend
2019-06-21,2019-06-23,Weekend
2019-06-28,2019-06-30,Weekend
2019-07-05,2019-07-07,Weekend
2019-07-12,2019-07-14,Weekend
2019-07-19,2019-07-21,Weekend
2019-07-26,2019-07-28,Weekend
2019-08-02,2019-08-04,Weekend
2019-08-09,2019-08-11,Weekend
2019-08-16,2019-08-18,Weekend
2019-08-23,2019-08-25,Weekend
2019-08-30,2019-09-01,Weekend
2019-09-06,2019-09-08,Weekend
2019-09-13,2019-09-15,Weekend
2019-09-20,2019-09-22,Weekend
2019-09-27,2019-09-29,Weekend
2019-10-04,2019-10-06,Weekend
2019-10-11,2019-10-13,Weekend
2019-10-18,2019-10-20,Weekend
2019-10-25,2019-10-27,Weekend
2019-11-01,2019-11-03,Weekend
2019-11-08,2019-11-10,Weekend
2019-11-15,2019-11-17,Weekend
2019-11-22,2019-11-24,Weekend
2019-11-29,2019-12-01,Weekend
2019-12-06,2019-12-08,Weekend
2019-12-13,2019-12-15,Weekend
2019-12-20,2019-12-22,Weekend
2019-12-27,2019-12-29,Weekend
