id,url,booked
1819-87818,https://bigbearlakefrontcabins.com/vacation_rentals/a-snowmass-haven-walk-to-lake,"['2018-09-22', '2018-10-05', '2018-10-06', '2018-10-13', '2018-12-18', '2018-12-19', '2018-12-20', '2018-12-21', '2018-12-22', '2019-01-19', '2019-01-20']"
1819-122797,https://bigbearlakefrontcabins.com/vacation_rentals/aggies-ski-den-close-to-lake,[]
1819-116437,https://bigbearlakefrontcabins.com/vacation_rentals/bear-pause-wren-chalet-walk-to-lake,"['2018-09-21', '2018-09-22']"
1819-121619,https://bigbearlakefrontcabins.com/vacation_rentals/bears-lair-close-to-village-lake,[]
1819-106622,https://bigbearlakefrontcabins.com/vacation_rentals/bears-zen-lake-village,"['2018-09-29', '2018-11-10', '2018-11-11', '2018-11-16', '2018-11-17', '2018-11-18', '2018-11-22', '2018-11-23', '2018-11-24', '2018-12-07', '2018-12-08', '2018-12-23', '2018-12-24', '2018-12-25']"
1819-106177,https://bigbearlakefrontcabins.com/vacation_rentals/bit-of-heaven-slopes-golf-course,"['2018-09-19', '2018-09-29', '2018-10-13', '2018-10-20']"
1819-97259,https://bigbearlakefrontcabins.com/vacation_rentals/breckenridge-chalet-lake-village,"['2018-11-10', '2018-11-22', '2018-11-23', '2018-11-24', '2018-12-23', '2018-12-24', '2018-12-25']"
1819-87801,https://bigbearlakefrontcabins.com/vacation_rentals/canyon-crest-view-close-to-lake,[]
1819-134236,https://bigbearlakefrontcabins.com/vacation_rentals/cranes-nest-chalet-walk-to-lake,"['2019-01-03', '2019-01-04']"
1819-122913,https://bigbearlakefrontcabins.com/vacation_rentals/evergreen-ski-chalet-golf-course-lake,"['2018-09-22', '2018-09-28', '2018-09-29', '2018-11-22', '2018-11-23', '2018-11-24', '2018-11-25', '2018-12-24', '2018-12-25', '2018-12-26', '2018-12-29', '2018-12-30', '2018-12-31', '2019-01-01']"
1819-87815,https://bigbearlakefrontcabins.com/vacation_rentals/fawnskin-lake-chalet,['2018-09-22']
1819-140898,https://bigbearlakefrontcabins.com/vacation_rentals/four-seasons-ski-haus,"['2018-09-19', '2018-09-28', '2018-09-29', '2018-12-24', '2018-12-25', '2018-12-26']"
1819-138492,https://bigbearlakefrontcabins.com/vacation_rentals/getaway-chalet,['2018-09-22']
1819-87822,https://bigbearlakefrontcabins.com/vacation_rentals/gold-mountain-chalet-forest-lake,"['2018-09-22', '2018-09-23', '2018-11-22', '2018-11-23', '2018-11-24', '2018-12-08', '2018-12-24', '2018-12-25', '2019-01-19', '2019-01-20']"
