ID,URL,StartDate,EndDate,Quote
1819-97259,https://bigbearlakefrontcabins.com/vacation_rentals/breckenridge-chalet-lake-village,2019-01-18,2019-01-20,"Booking requirements; Make sure the requested dates are available.; Must select at least  nights.; Checkin available on Friday, Saturday, Sunday."
1819-97259,https://bigbearlakefrontcabins.com/vacation_rentals/breckenridge-chalet-lake-village,2019-02-15,2019-02-17,"Booking requirements; Make sure the requested dates are available.; Must select at least  nights.; Checkin available on Friday, Saturday, Sunday."
1819-97259,https://bigbearlakefrontcabins.com/vacation_rentals/breckenridge-chalet-lake-village,2019-03-15,2019-03-17,"Booking requirements; Make sure the requested dates are available.; Must select at least  nights.; Checkin available on Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday."
1819-97259,https://bigbearlakefrontcabins.com/vacation_rentals/breckenridge-chalet-lake-village,2019-04-19,2019-04-21,Booking requirements; Make sure the requested dates are available.; Must select at least  nights.; available on .
1819-97259,https://bigbearlakefrontcabins.com/vacation_rentals/breckenridge-chalet-lake-village,2019-05-03,2019-05-05,Booking requirements; You are not authorized to use this service
1819-97259,https://bigbearlakefrontcabins.com/vacation_rentals/breckenridge-chalet-lake-village,2019-05-24,2019-05-26,Booking requirements; You are not authorized to use this service
1819-97259,https://bigbearlakefrontcabins.com/vacation_rentals/breckenridge-chalet-lake-village,2019-07-04,2019-07-06,Booking requirements; You are not authorized to use this service
1819-97259,https://bigbearlakefrontcabins.com/vacation_rentals/breckenridge-chalet-lake-village,2019-10-11,2019-10-13,Booking requirements; You are not authorized to use this service
1819-97259,https://bigbearlakefrontcabins.com/vacation_rentals/breckenridge-chalet-lake-village,2019-11-08,2019-11-10,Booking requirements; You are not authorized to use this service
1819-97259,https://bigbearlakefrontcabins.com/vacation_rentals/breckenridge-chalet-lake-village,2019-11-28,2019-11-30,Booking requirements; You are not authorized to use this service
1819-97259,https://bigbearlakefrontcabins.com/vacation_rentals/breckenridge-chalet-lake-village,2019-12-21,2020-01-01,Booking requirements; You are not authorized to use this service
1819-97259,https://bigbearlakefrontcabins.com/vacation_rentals/breckenridge-chalet-lake-village,2018-01-12,2018-01-15,Booking requirements; You are not authorized to use this service
1819-97259,https://bigbearlakefrontcabins.com/vacation_rentals/breckenridge-chalet-lake-village,2018-02-16,2018-02-19,Booking requirements; You are not authorized to use this service
1819-97259,https://bigbearlakefrontcabins.com/vacation_rentals/breckenridge-chalet-lake-village,2018-03-16,2018-03-18,Booking requirements; You are not authorized to use this service
1819-97259,https://bigbearlakefrontcabins.com/vacation_rentals/breckenridge-chalet-lake-village,2018-03-30,2018-04-01,Booking requirements; You are not authorized to use this service
1819-97259,https://bigbearlakefrontcabins.com/vacation_rentals/breckenridge-chalet-lake-village,2018-05-04,2018-05-06,Booking requirements; You are not authorized to use this service
1819-97259,https://bigbearlakefrontcabins.com/vacation_rentals/breckenridge-chalet-lake-village,2018-05-25,2018-05-28,Booking requirements; You are not authorized to use this service
