ID,2019-01-18,2019-01-20,2019-02-15,2019-02-17,2019-03-15,2019-03-17,2019-04-19,2019-04-21,2019-05-03,2019-05-05,2019-05-24,2019-05-26,2019-07-04,2019-07-06,2019-10-11,2019-10-13,2019-11-08,2019-11-10,2019-11-28,2019-11-30,2019-12-21,2020-01-01,2018-01-12,2018-01-15,2018-02-16,2018-02-19,2018-03-16,2018-03-18,2018-03-30,2018-04-01,2018-05-04,2018-05-06,2018-05-25,2018-05-28,2018-07-04,2018-07-07,2018-08-31,2018-09-03,2018-10-05,2018-10-08,2018-11-09,2018-11-12,2018-11-22,2018-11-24,2018-12-21,2019-01-01
1990-95163,,,,,"$2,850.00",,"$1,390.00",,"$1,390.00",,"$1,550.00",,"$1,790.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-95173,,,,,"$2,700.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,550.00",,,,,,"$19,050.00",
1990-95162,,,,,"$1,590.00",,$650.00,,$650.00,,$700.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,$722.50,,,,,,,
1990-95166,,,,,"$3,300.00",,"$1,650.00",,"$1,650.00",,"$1,850.00",,"$2,190.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,145.00",,,,,
1990-95165,,,,,"$1,250.00",,$450.00,,$450.00,,$550.00,,$650.00,,,,,,,,,,,,,,,,,,,,,,,,,,$531.25,,$625.00,,,,"$9,345.00",
1990-95169,,,,,"$2,100.00",,"$1,390.00",,"$1,390.00",,"$1,450.00",,"$1,950.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,840.00",,"$1,840.00",,,,"$16,125.00",
1990-95172,,,,,"$2,390.00",,"$1,190.00",,"$1,190.00",,"$1,200.00",,"$1,360.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,347.25",,"$1,585.00",,,,,
1990-127081,,,,,"$1,450.00",,$800.00,,$800.00,,$800.00,,$850.00,,,,,,,,,,,,,,,,,,,,,,,,,,$935.00,,"$1,100.00",,,,,
1990-121706,,,,,,,,,,,"$2,950.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-95373,,,,,"$2,300.00",,$950.00,,$950.00,,"$1,200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,400.00",,,,,
1990-95380,,,,,"$2,100.00",,$900.00,,$900.00,,$950.00,,"$1,050.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,245.00",
1990-95175,,,,,"$1,990.00",,$650.00,,$650.00,,$850.00,,$950.00,,,,,,,,,,,,,,,,,,,,,,,,,,$875.00,,$875.00,,,,,
1990-95376,,,,,"$2,990.00",,$850.00,,$850.00,,$850.00,,$990.00,,,,,,,,,,,,,,,,,,,,,,,,,,$977.50,,"$1,150.00",,,,"$18,600.00",
