ID,URL,StartDate,EndDate,Quote,Message
1655-140233,https://www.turnkeyvr.com/lake_arrowhead-ca/27509wsr,2019-01-18,2019-01-20,,There was a problem booking these dates - please contact Turnkey at 888.512.0498 if the problem continues.
1655-140233,https://www.turnkeyvr.com/lake_arrowhead-ca/27509wsr,2019-02-15,2019-02-17,,There was a problem booking these dates - please contact Turnkey at 888.512.0498 if the problem continues.
1655-140233,https://www.turnkeyvr.com/lake_arrowhead-ca/27509wsr,2019-03-15,2019-03-17,,There was a problem booking these dates - please contact Turnkey at 888.512.0498 if the problem continues.
1655-140233,https://www.turnkeyvr.com/lake_arrowhead-ca/27509wsr,2019-04-19,2019-04-21,,There was a problem booking these dates - please contact Turnkey at 888.512.0498 if the problem continues.
1655-140233,https://www.turnkeyvr.com/lake_arrowhead-ca/27509wsr,2019-05-03,2019-05-05,,There was a problem booking these dates - please contact Turnkey at 888.512.0498 if the problem continues.
1655-140233,https://www.turnkeyvr.com/lake_arrowhead-ca/27509wsr,2019-05-24,2019-05-26,,There was a problem booking these dates - please contact Turnkey at 888.512.0498 if the problem continues.
1655-140233,https://www.turnkeyvr.com/lake_arrowhead-ca/27509wsr,2019-07-04,2019-07-06,,There was a problem booking these dates - please contact Turnkey at 888.512.0498 if the problem continues.
1655-140233,https://www.turnkeyvr.com/lake_arrowhead-ca/27509wsr,2019-10-11,2019-10-13,,There was a problem booking these dates - please contact Turnkey at 888.512.0498 if the problem continues.
1655-140233,https://www.turnkeyvr.com/lake_arrowhead-ca/27509wsr,2019-11-08,2019-11-10,,There was a problem booking these dates - please contact Turnkey at 888.512.0498 if the problem continues.
1655-140233,https://www.turnkeyvr.com/lake_arrowhead-ca/27509wsr,2019-11-28,2019-11-30,,There was a problem booking these dates - please contact Turnkey at 888.512.0498 if the problem continues.
1655-140233,https://www.turnkeyvr.com/lake_arrowhead-ca/27509wsr,2019-12-21,2020-01-01,,There was a problem booking these dates - please contact Turnkey at 888.512.0498 if the problem continues.
1655-140233,https://www.turnkeyvr.com/lake_arrowhead-ca/27509wsr,2018-01-12,2018-01-15,,Invalid quote
1655-140233,https://www.turnkeyvr.com/lake_arrowhead-ca/27509wsr,2018-02-16,2018-02-19,,Invalid quote
1655-140233,https://www.turnkeyvr.com/lake_arrowhead-ca/27509wsr,2018-03-16,2018-03-18,,Invalid quote
1655-140233,https://www.turnkeyvr.com/lake_arrowhead-ca/27509wsr,2018-03-30,2018-04-01,,Invalid quote
1655-140233,https://www.turnkeyvr.com/lake_arrowhead-ca/27509wsr,2018-05-04,2018-05-06,,Invalid quote
1655-140233,https://www.turnkeyvr.com/lake_arrowhead-ca/27509wsr,2018-05-25,2018-05-28,,Invalid quote
