ID,2019-01-18,2019-01-20,2019-02-15,2019-02-17,2019-03-15,2019-03-17,2019-04-19,2019-04-21,2019-05-03,2019-05-05,2019-05-24,2019-05-26,2019-07-04,2019-07-06,2019-10-11,2019-10-13,2019-11-08,2019-11-10,2019-11-28,2019-11-30,2019-12-21,2020-01-01,2018-01-12,2018-01-15,2018-02-16,2018-02-19,2018-03-16,2018-03-18,2018-03-30,2018-04-01,2018-05-04,2018-05-06,2018-05-25,2018-05-28,2018-07-04,2018-07-07,2018-08-31,2018-09-03,2018-10-05,2018-10-08,2018-11-09,2018-11-12,2018-11-22,2018-11-24,2018-12-21,2019-01-01
1655-140233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874.26,,918.79,,,,,
1655-145809,,,,,1029.78,,650.46,,650.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655-129577,,,,,1252.28,,859.88,,859.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655-134434,,,,,1770.98,,1269.58,,1269.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752.56,,1814.58,,,,,
1655-150604,,,,,852.68,,612.88,,612.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.27,,677.84,,,,9642.76,
1655-141019,1246.43,,1268.23,,1115.63,,439.83,,439.83,,537.93,,963.03,,,,,,,,,,,,,,,,,,,,,,,,,,472.66,,496.07,,,,,
1655-145321,,,,,1027.53,,700.53,,700.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872.91,,917.44,,,,11603.03,
1655-151858,,,,,1637.93,,918.53,,918.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1183.56,,1244.44,,,,12063.01,
1655-126683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655-149849,,,,,1268.23,,614.23,,614.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671.48,,705.35,,,,9698.61,
1655-139296,,,,,1119.68,,465.68,,465.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.99,,649.89,,,,8863.45,
1655-148639,,,,,720.98,,437.58,,437.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.59,,578.19,,,,7167.65,
1655-149851,,,,,982.58,,415.78,,415.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.01,,467.01,,,,7799.85,
1655-132498,,,,,612.43,,342.11,,342.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.16,,500.16,,,,,
1655-152076,,,,,893.58,,522.98,,522.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.01,,596.01,,,,9062.45,
1655-151396,,,,,1024.38,,566.58,,566.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745.50,,783.49,,,,,
1655-131110,,,,,1443.01,,1007.01,,1007.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088.76,,,,10221.19,
1655-144419,,,,,630.18,,412.18,,412.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.39,,366.62,,,,4057.55,
1655-144597,,,,,721.43,,438.03,,438.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.44,,392.03,,,,6339.61,
1655-126842,,,,,654.23,,242.21,,242.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.21,,351.21,,,,6032.70,
1655-124317,,,1112.03,,828.63,,545.23,,545.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.72,,,,7831.20,
1655-140098,,,,,1438.58,,501.18,,501.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.37,,718.09,,,,10403.15,
1655-147666,,,,,894.03,,296.71,,296.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.96,,432.96,,,,8616.00,
1655-144519,,,,,654.23,,436.23,,436.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.60,,492.47,,,,6392.40,
1655-111716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655-147411,,,,,630.18,,305.36,,305.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.06,,447.06,,,,,
1655-153036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655-130981,,,,,1707.31,,682.71,,682.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009.71,,1009.71,,,,20873.19,
1655-147359,,,,,874.03,,568.83,,568.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.05,,625.07,,,,7320.61,
1655-153042,,,,,893.58,,522.98,,522.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.08,,739.89,,,,,
1655-150643,,,,,588.38,,413.98,,413.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.39,,348.80,,,,5160.25,
1655-135078,,,,,,,,,,,426.23,,,,491.63,,,,,,,,,,,,,,,,,,,,,,,,578.83,,448.03,,,,3635.60,
1655-125425,,,,,937.63,,436.23,,436.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.94,,,,7678.60,
1655-142829,,,,,,,,,472.01,,472.01,,,,472.01,,,,,,,,,,,,,,,,,,,,,,,,690.01,,690.01,,,,,
1655-151907,,,,,610.18,,348.58,,348.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.38,,,,5563.55,
1655-126528,,,,,982.13,,458.93,,458.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7799.40,
1655-144364,,,,,520.73,,346.33,,346.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.85,,373.04,,,,5033.47,
