ID,2019-01-18,2019-01-20,2019-02-15,2019-02-17,2019-03-15,2019-03-17,2019-04-19,2019-04-21,2019-05-03,2019-05-05,2019-05-24,2019-05-26,2019-07-04,2019-07-06,2019-10-11,2019-10-13,2019-11-08,2019-11-10,2019-11-28,2019-11-30,2019-12-21,2020-01-01,2018-01-12,2018-01-15,2018-02-16,2018-02-19,2018-03-16,2018-03-18,2018-03-30,2018-04-01,2018-05-04,2018-05-06,2018-05-25,2018-05-28,2018-07-04,2018-07-07,2018-08-31,2018-09-03,2018-10-05,2018-10-08,2018-11-09,2018-11-12,2018-11-22,2018-11-24,2018-12-21,2019-01-01
60848,720.0,,720.0,,258.76,,250,,250,,297.5,,448.0,,0,,0,,0,,2669.79,,1113.76,,825,,258.76,,258.76,,250,,446.25,,672.0,,375,,355,,651.84,,414.52,,4584.61,
147093,1200.0,,1200.0,,297.58,,250,,250,,416.5,,448.0,,0,,0,,0,,2565.46,,1245.4,,808,,297.58,,297.58,,250,,624.75,,672.0,,440,,365,,1002.01,,631.79,,7431.25,
60853,880.0,,880.0,,323.44,,400,,400,,382.5,,448.0,,0,,0,,0,,3405.42,,1400.64,,920,,323.44,,323.44,,400,,573.75,,672.0,,550,,550,,1012.53,,632.83,,8049.08,
60826,768.0,,768.0,,258.76,,270,,270,,280.5,,320.0,,0,,0,,0,,3276.0,,761.1,,730,,258.76,,258.76,,270,,420.75,,480.0,,405,,390,,715.12,,458.81,,4598.5,
60766,448.0,,448.0,,226.42,,200,,200,,212.5,,224.0,,0,,0,,0,,2138.23,,950.1,,617,,226.42,,226.42,,200,,318.75,,336.0,,315,,290,,531.6,,341.74,,2782.78,
209160,1360.0,,1360.0,,498.08,,400,,400,,382.5,,704.0,,0,,0,,0,,5282.45,,1653.76,,1421,,498.08,,498.08,,400,,573.75,,1056.0,,575,,575,,1054.72,,675.02,,8694.57,
292026,1536.0,,1536.0,,420.46,,400,,400,,0.0,,576.0,,0,,0,,0,,4454.34,,1824.24,,1199,,420.46,,420.46,,400,,0.0,,864.0,,600,,575,,1499.82,,939.76,,8322.0,
237242,1792.0,,1792.0,,517.5,,350,,350,,425.0,,352.0,,0,,0,,0,,4370.45,,2227.5,,1460,,517.5,,517.5,,350,,637.5,,528.0,,500,,475,,875.43,,543.19,,10146.5,
60834,768.0,,768.0,,239.34,,320,,320,,280.5,,320.0,,0,,0,,0,,2503.78,,1034.48,,679,,239.34,,239.34,,320,,420.75,,480.0,,460,,460,,843.75,,540.0,,4869.26,
60829,960.0,,960.0,,323.44,,400,,400,,382.5,,448.0,,0,,0,,0,,3037.51,,970.0,,920,,323.44,,323.44,,400,,573.75,,672.0,,575,,575,,1054.72,,675.02,,6007.93,
60783,1600.0,,1600.0,,646.88,,650,,650,,637.5,,768.0,,0,,0,,0,,6537.82,,2767.52,,1810,,646.88,,646.88,,650,,956.25,,1152.0,,950,,925,,1750.82,,1086.35,,10118.03,
