PL,PR
2018-09-21,2018-09-23
2018-09-28,2018-09-30
2018-10-05,2018-10-07
2018-10-12,2018-10-14
2018-10-19,2018-10-21
2018-10-26,2018-10-28
2018-11-02,2018-11-04
2018-11-09,2018-11-11
2018-11-16,2018-11-18
2018-11-23,2018-11-25
2018-11-30,2018-12-02
2018-12-07,2018-12-09
2018-12-14,2018-12-16
2018-12-21,2018-12-23
2018-12-28,2018-12-30
2019-01-04,2019-01-06
2019-01-11,2019-01-13
2019-01-18,2019-01-20
2019-01-25,2019-01-27
2019-02-01,2019-02-03
2019-02-08,2019-02-10
2019-02-15,2019-02-17
2019-02-22,2019-02-24
2019-03-01,2019-03-03
2019-03-08,2019-03-10
2019-03-15,2019-03-17
2019-03-22,2019-03-24
2019-03-29,2019-03-31
2019-04-05,2019-04-07
2019-04-12,2019-04-14
2019-04-19,2019-04-21
2019-04-26,2019-04-28
2019-05-03,2019-05-05
2019-05-10,2019-05-12
2019-05-17,2019-05-19
2019-05-24,2019-05-26
2019-05-31,2019-06-02
2019-06-07,2019-06-09
2019-06-14,2019-06-16
2019-06-21,2019-06-23
2019-06-28,2019-06-30
2019-07-05,2019-07-07
2019-07-12,2019-07-14
2019-07-19,2019-07-21
2019-07-26,2019-07-28
2019-08-02,2019-08-04
2019-08-09,2019-08-11
2019-08-16,2019-08-18
2019-08-23,2019-08-25
2019-08-30,2019-09-01
2019-09-06,2019-09-08
2019-09-13,2019-09-15
